Type,Card,Pair #1,Pair #2,Pair #3,Pair #4,Pair #5,Pair #6
Unit,GD03-071 Z Gundam (Biosensor),GD03-002 The-O,GD03-001 Gundam NT-1,GD03-018 Altron Gundam,GD03-050 Gundam Barbatos Lupus,,
Unit,GD03-073 Graze Ein,GD03-010 Full Armor Unicorn Gundam (Destroy Mode),GD03-003 Messala,GD03-037 Bertigo,GD03-070 Freedom Gundam,GD03-098 Graham Aker,
Pilot,GD03-084 Paptimus Scirocco,GD03-010 Full Armor Unicorn Gundam (Destroy Mode),GD03-037 Bertigo,GD03-069 Graham's Union Flag Custom,GD03-070 Freedom Gundam,,
Pilot,GD03-088 Asemu Asuno,GD03-019 Gundam AGE-2 Normal,GD03-094 Zeheart Galette,GD03-101 A Healthy Curiosity,GD03-114 Look of Determination,,
Pilot,GD03-091 Rau Le Creuset,GD03-017 Kampfer,GD03-049 Gundam Exia (Trans-Am),GD03-053 Gundam Gusion Rebake Full City,GD03-101 A Healthy Curiosity,GD03-114 Look of Determination,
Pilot,GD03-094 Zeheart Galette,GD03-018 Altron Gundam,GD03-022 Gundam Kyrios,GD03-088 Asemu Asuno,,,
Pilot,GD03-098 Graham Aker,GD03-037 Bertigo,GD03-073 Graze Ein,GD03-053 Gundam Gusion Rebake Full City,GD03-109 Improved Technique,,
Command,GD03-101 A Healthy Curiosity,GD03-019 Gundam AGE-2 Normal,GD03-018 Altron Gundam,GD03-088 Asemu Asuno,GD03-091 Rau Le Creuset,GD03-118 Awakened Potential,
Command,GD03-105 Bridge Crew,GD03-001 Gundam NT-1,GD03-033 Providence Gundam,GD03-118 Awakened Potential,,,
Command,GD03-109 Improved Technique,GD03-020 Zaku II FZ,GD03-052 Gundam Virtue,GD03-098 Graham Aker,GD03-118 Awakened Potential,,
Command,GD03-114 Look of Determination,GD03-034 GQuuuuuuX (Omega Psycommu),GD03-033 Providence Gundam,GD03-049 Gundam Exia (Trans-Am),GD03-088 Asemu Asuno,GD03-091 Rau Le Creuset,
Command,GD03-118 Awakened Potential,GD03-001 Gundam NT-1,GD03-018 Altron Gundam,GD03-101 A Healthy Curiosity,GD03-105 Bridge Crew,GD03-109 Improved Technique + Battle of Aces SP,
